date,ticker,series_label,dataset_type,value,open,high,low,close,adj_close,volume,quality_notes	
2023-11-21,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2023-11-23,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2023-11-27,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2023-11-29,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2023-11-30,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2023-12-04,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2023-12-06,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2023-12-08,ZQ=F,fed_funds_futures,rate,94.66750336,,,,,,,ok	
2023-12-11,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2023-12-13,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2023-12-15,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2023-12-19,ZQ=F,fed_funds_futures,rate,94.66750336,,,,,,,ok	
2023-12-20,ZQ=F,fed_funds_futures,rate,94.66750336,,,,,,,ok	
2023-12-22,ZQ=F,fed_funds_futures,rate,94.67250061,,,,,,,ok	
2023-12-26,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2023-12-28,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-01-03,ZQ=F,fed_funds_futures,rate,94.67250061,,,,,,,ok	
2024-01-05,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-01-09,ZQ=F,fed_funds_futures,rate,94.67250061,,,,,,,ok	
2024-01-10,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-01-12,ZQ=F,fed_funds_futures,rate,94.67250061,,,,,,,ok	
2024-01-16,ZQ=F,fed_funds_futures,rate,94.67250061,,,,,,,ok	
2024-01-18,ZQ=F,fed_funds_futures,rate,94.67250061,,,,,,,ok	
2024-01-23,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-01-25,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-01-29,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-01-30,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-02-02,ZQ=F,fed_funds_futures,rate,94.68000031,,,,,,,ok	
2024-02-06,ZQ=F,fed_funds_futures,rate,94.67749786,,,,,,,ok	
2024-02-08,ZQ=F,fed_funds_futures,rate,94.67749786,,,,,,,ok	
2024-02-13,ZQ=F,fed_funds_futures,rate,94.67250061,,,,,,,ok	
2024-02-15,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-02-20,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-02-22,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-02-26,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-02-28,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-03-01,ZQ=F,fed_funds_futures,rate,94.67250061,,,,,,,ok	
2024-03-05,ZQ=F,fed_funds_futures,rate,94.67250061,,,,,,,ok	
2024-03-07,ZQ=F,fed_funds_futures,rate,94.67250061,,,,,,,ok	
2024-03-12,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-03-14,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-03-18,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-03-21,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-03-25,ZQ=F,fed_funds_futures,rate,94.66999817,,,,,,,ok	
2024-03-27,ZQ=F,fed_funds_futures,rate,94.66750336,,,,,,,ok	
2024-04-02,ZQ=F,fed_funds_futures,rate,94.67250061,,,,,,,ok	
